クラスタ平均,市区町村名
1.2138919514884234,静岡市葵区
1.1462093862815885,福岡市城南区
1.2655137334689726,京都市左京区
1.5251461988304094,宇治市
0.8314606741573034,犬山市
1.3535911602209945,新居浜市
0.7969661610268378,岐阜市
1.4591213267384346,市川市
1.492548435171386,伊丹市
0.9924433249370277,瀬戸市
1.4,桐生市
2.0,南足柄市
1.3333333333333333,遠賀郡芦屋町
1.02680412371134,名古屋市北区
0.2916666666666667,愛西市
1.5945945945945945,大崎市
1.4220385674931129,さいたま市浦和区
1.607843137254902,袖ケ浦市
0.3333333333333333,額田郡幸田町
1.482608695652174,向日市
1.773015873015873,蕨市
1.3104661389621812,京都市上京区
0.38461538461538464,北見市
1.7796610169491525,幸手市
0.5116279069767442,弥富市
1.8620689655172413,酒田市
1.6750861079219288,京都市山科区
1.3980978260869565,岸和田市
1.514762516046213,小金井市
1.3236472945891784,横須賀市
1.1058823529411765,防府市
0.9266409266409267,刈谷市
1.1350210970464134,熊本市西区
1.4132976946207818,藤沢市
1.2590968873301183,大阪市北区
1.9166666666666667,宇陀市
1.202020202020202,三原市
1.3424908424908424,和泉市
1.263157894736842,北葛城郡河合町
1.594871794871795,大和高田市
1.2580645161290323,四條畷市
1.016304347826087,熊本市東区
1.1838235294117647,江南市
0.375,薩摩川内市
2.0,筑後市
1.3156779661016949,山形市
0.9302325581395349,小松市
1.2720505301150462,中野区
0.8846153846153846,霧島市
1.4045842217484008,神戸市須磨区
0.9183922046285018,流山市
1.5897435897435896,桜井市
0.9795918367346939,富里市
1.4337078651685393,橿原市
1.1581961345740874,岡山市北区
1.0357142857142858,富士宮市
1.3613013698630136,横浜市保土ケ谷区
1.26497461928934,川崎市幸区
1.4348086124401913,松戸市
1.1893537615399725,福岡市博多区
1.39010989010989,那須塩原市
1.1428571428571428,鹿屋市
1.455439459127228,仙台市宮城野区
1.6796875,太田市
0.8323863636363636,半田市
0.9458333333333333,宇部市
0.9714285714285714,津山市
0.7865168539325843,唐津市
1.0037783375314862,池田市
1.56,行田市
1.504,大東市
1.3679245283018868,亀岡市
1.1379310344827587,土岐市
1.3946608946608947,堺市堺区
1.771523178807947,大阪市西成区
1.399624765478424,海老名市
0.5476190476190477,川辺郡猪名川町
1.4170212765957446,倉敷市
1.494615936826992,明石市
1.4210526315789473,いわき市
1.1589403973509933,三浦市
1.4529411764705882,伊勢原市
1.5882784958871916,足立区
1.2231441048034934,横浜市中区
2.0,塩竈市
1.5571177504393674,大阪狭山市
1.4871794871794872,三重郡川越町
1.2903225806451613,糸島市
2.0,高山市
1.1139240506329113,豊明市
1.3333333333333333,安芸郡府中町
1.043076923076923,豊田市
1.2161485499687044,大阪市中央区
0.9247311827956989,印旛郡酒々井町
0.9698952879581152,安城市
1.121758737316798,吹田市
1.2130289370364984,文京区
0.8888888888888888,知多郡阿久比町
1.2096385542168675,静岡市清水区
1.2325056433408579,広島市安佐南区
1.4045368620037808,福島市
