市区町村名,平均価格
三重郡川越町,0.10530771615801143
三重郡朝日町,0.11374499810722916
伊勢市,0.11015048748414814
四日市市,0.10069752937865473
松阪市,0.09464300211056398
桑名市,0.09473001692245746
津市,0.10568236603584473
鈴鹿市,0.09594428700338323
久世郡久御山町,0.09994857304533422
乙訓郡大山崎町,0.1097904820967065
亀岡市,0.1082483918485336
京田辺市,0.10613158968349908
京都市上京区,0.21122672560038627
京都市下京区,0.23186173766256438
京都市中京区,0.1969156153022358
京都市伏見区,0.13443069670385888
京都市北区,0.1436468727875541
京都市南区,0.15208966261711915
京都市右京区,0.14738910060719132
京都市山科区,0.12579701075697072
京都市左京区,0.15282057462397625
京都市東山区,0.22185963031438077
京都市西京区,0.12705897019395368
八幡市,0.11067285232059887
南丹市,0.11335657886736107
向日市,0.10721792475141789
城陽市,0.11056544262325915
宇治市,0.10793960083591853
木津川市,0.09461738002933168
相楽郡精華町,0.08880447698457604
綴喜郡井手町,0.10010835263831044
長岡京市,0.11088495743804053
佐賀市,0.11556682991214771
唐津市,0.0994602652993318
三田市,0.09241152512770759
伊丹市,0.10899614164644394
加古川市,0.1050463013915048
姫路市,0.1158949880948263
宝塚市,0.10009190495975957
尼崎市,0.13084795210138933
川西市,0.10000361760292474
川辺郡猪名川町,0.08872745314865561
明石市,0.10940638340534939
洲本市,0.1398023497825737
淡路市,0.18863028546651323
神戸市中央区,0.2185275284302571
神戸市兵庫区,0.19909369957843004
神戸市北区,0.0974233220780636
神戸市垂水区,0.10390200313442802
神戸市東灘区,0.12266413372682385
神戸市灘区,0.1406773092735801
神戸市西区,0.09377793060797747
神戸市長田区,0.13684681171065805
神戸市須磨区,0.10356847541982821
芦屋市,0.10641163687814091
西宮市,0.1123627098558854
函館市,0.13120256046836992
北見市,0.08469175510680647
小樽市,0.09754103156226639
帯広市,0.0885426071043564
旭川市,0.11226090486438181
札幌市中央区,0.12757826080941667
札幌市北区,0.14906504979575683
札幌市南区,0.10451958384714789
札幌市厚別区,0.09908350924132019
札幌市手稲区,0.09239832330057644
札幌市東区,0.11520933059778568
札幌市清田区,0.09269768397822237
札幌市白石区,0.11179266419198639
札幌市西区,0.10714370218258569
札幌市豊平区,0.11774995974094261
江別市,0.10288084997193168
苫小牧市,0.09230777243054619
釧路市,0.1207658610672653
佐倉市,0.09781112921546985
八千代市,0.10965237497408334
千葉市中央区,0.12802952668442172
千葉市稲毛区,0.10932856229498003
千葉市緑区,0.09804998045481199
千葉市美浜区,0.11482179442009008
千葉市花見川区,0.11299845718453783
千葉市若葉区,0.11632247669246096
印旛郡酒々井町,0.0943126784691858
印西市,0.08600949757548039
君津市,0.10124140883899069
四街道市,0.1049767372032336
富津市,0.10381127703054996
富里市,0.0961293573889611
市原市,0.13347964328765527
市川市,0.1246835736121577
成田市,0.11285994981965873
我孫子市,0.09817125681058594
木更津市,0.13311148676589282
松戸市,0.12063307548534712
柏市,0.10546425731277617
流山市,0.10851090573304951
浦安市,0.104522494986921
白井市,0.08794163957839923
習志野市,0.10881836000316782
船橋市,0.11863989016264782
袖ケ浦市,0.12266885725260757
野田市,0.10415940083947685
鎌ケ谷市,0.10326608977475035
和歌山市,0.11626023442775348
さいたま市中央区,0.12561278771268883
さいたま市北区,0.12343385825213192
さいたま市南区,0.12561010512749815
さいたま市大宮区,0.15280576800074033
さいたま市岩槻区,0.11009151281734769
さいたま市桜区,0.12131448581336948
さいたま市浦和区,0.13257029334002204
さいたま市緑区,0.12131505412061061
さいたま市西区,0.1142657501667657
さいたま市見沼区,0.11238051718774149
ふじみ野市,0.12007950987200641
三郷市,0.10962858121706813
上尾市,0.10962843604934688
久喜市,0.10914089996573964
入間市,0.1077594419129822
入間郡三芳町,0.11527467383895168
入間郡毛呂山町,0.12472280141170285
入間郡越生町,0.11964691614028847
八潮市,0.12129017711178562
加須市,0.10943885749020499
北本市,0.10229949999410479
北葛飾郡杉戸町,0.10557043775677144
北足立郡伊奈町,0.10747642697945559
南埼玉郡宮代町,0.11127981229003876
吉川市,0.10855071195609137
和光市,0.11905154148985858
坂戸市,0.14616636235982572
富士見市,0.11245492577692381
川口市,0.14945492279554537
川越市,0.1325516671227945
幸手市,0.10967556719175389
志木市,0.109494890378453
戸田市,0.12584044666007896
所沢市,0.1287435217806808
新座市,0.1223023021164855
日高市,0.14947816141603842
春日部市,0.11606140224137682
朝霞市,0.11915585357440854
東松山市,0.13648132521053452
桶川市,0.15187456364747556
深谷市,0.10688186887722757
熊谷市,0.13756528028086948
狭山市,0.14351622693284133
白岡市,0.10281022993577577
羽生市,0.0980962638356416
草加市,0.12547709940410673
蓮田市,0.09317134728390514
蕨市,0.13705353757688235
行田市,0.11603762278717987
越谷市,0.11288866098482006
飯能市,0.11910039377340263
鴻巣市,0.10703956843329071
鶴ケ島市,0.13802525791835651
別府市,0.13939430633733252
大分市,0.13475153565748949
